,Номенклатура,Цена,Количество,Сумма,total чека,Дата покупки,retailPlace,retailPlaceAddress,organization-name,organization-inn,seller-name,seller-inn,Полный чек (http://jsonviewer.stack.hu/),qr-code (single),qr-code,added_user_id,id категории
,ПРЯНИКИ НАСЛАДА ИМБИРНЫЕ СЫРЦОВЫЕ ГОСТ 340Г,"74,9",1,"74,9","606,87",2021-04-09T17:27,"Магазин ""Мария-Ра"" №993",,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,"{'status': 2, 'id': '60712d63bc675132cd419be1', 'kind': 'kkt', 'createdAt': '2021-04-10T07:49:52+03:00', 'statusDescription': {}, 'qr': 't=20210409T1727&s=606.87&fn=9251440300023981&i=156474&fp=2317883233&n=1', 'operation': {'date': '2021-04-09T17:27', 'type': 1, 'sum': 60687}, 'process': [{'time': '2021-04-10T04:45:24+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 60687, 'documentId': 156474, 'fsId': '9251440300023981', 'fiscalSign': '2317883233', 'date': '2021-04-09T17:27'}, 'ticket': {'document': {'receipt': {'dateTime': 1617978420, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 60687, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 156474, 'fiscalDriveNumber': '9251440300023981', 'fiscalSign': 2317883233, 'items': [{'name': 'ПРЯНИКИ НАСЛАДА ИМБИРНЫЕ СЫРЦОВЫЕ ГОСТ 340Г', 'nds': 1, 'ndsSum': 1248, 'paymentType': 4, 'price': 7490, 'productType': 1, 'quantity': 1, 'sum': 7490}, {'name': 'ФОРЕЛЬ ТУНЦОВ ФИЛЕ КУСОК С/С 200Г', 'nds': 2, 'ndsSum': 3315, 'paymentType': 4, 'price': 36460, 'productType': 1, 'quantity': 1, 'sum': 36460}, {'name': 'СЫР ТВОРОЖНЫЙ ХОХЛАНД СЛИВОЧНЫЙ 140Г', 'nds': 2, 'ndsSum': 754, 'paymentType': 4, 'price': 8290, 'productType': 1, 'quantity': 1, 'sum': 8290}, {'name': 'ХЛЕБ СИБИРСКИЙ В НАРЕЗКЕ 450Г / ИНСКОЙ ХК', 'nds': 2, 'ndsSum': 269, 'paymentType': 4, 'price': 2960, 'productType': 1, 'quantity': 1, 'sum': 2960}, {'name': 'ГРУША КОНФЕРЕНЦИЯ', 'nds': 2, 'ndsSum': 445, 'paymentType': 4, 'price': 15400, 'productType': 1, 'quantity': 0.318, 'sum': 4897}, {'name': 'ПАКЕТ БОЛЬШОЙ БИО', 'nds': 1, 'ndsSum': 98, 'paymentType': 4, 'price': 590, 'productType': 1, 'quantity': 1, 'sum': 590}], 'kktRegId': '0000446771007125    ', 'nds10': 4782, 'nds18': 1347, 'operationType': 1, 'operator': 'Кассир Денисова Елена Александровна', 'operatorInn': '540863128192', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 207, 'retailPlace': 'Магазин ""Мария-Ра"" №993', 'shiftNumber': 302, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 60687, 'user': 'ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""', 'userInn': '2225074005  '}}}, 'organization': {'name': 'ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""', 'inn': '2225074005'}, 'seller': {'name': 'ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""', 'inn': '2225074005'}}",t=20210409T1727&s=606.87&fn=9251440300023981&i=156474&fp=2317883233&n=1,,,
,ФОРЕЛЬ ТУНЦОВ ФИЛЕ КУСОК С/С 200Г,"364,6",1,"364,6","606,87",2021-04-09T17:27,"Магазин ""Мария-Ра"" №993",,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,,,,,
,СЫР ТВОРОЖНЫЙ ХОХЛАНД СЛИВОЧНЫЙ 140Г,"82,9",1,"82,9","606,87",2021-04-09T17:27,"Магазин ""Мария-Ра"" №993",,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,,,,,
,ХЛЕБ СИБИРСКИЙ В НАРЕЗКЕ 450Г / ИНСКОЙ ХК,"29,6",1,"29,6","606,87",2021-04-09T17:27,"Магазин ""Мария-Ра"" №993",,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,,,,,
,ГРУША КОНФЕРЕНЦИЯ,154,"0,318","48,97","606,87",2021-04-09T17:27,"Магазин ""Мария-Ра"" №993",,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,,,,,
,ПАКЕТ БОЛЬШОЙ БИО,"5,9",1,"5,9","606,87",2021-04-09T17:27,"Магазин ""Мария-Ра"" №993",,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЗНИЦА К-1""",2225074005,,,,,
,\\ Пакет БИО Добрянка большой 38+20х65/25,8,2,16,"3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,"{'status': 2, 'id': '606f3115bc675132cd405e6d', 'kind': 'kkt', 'createdAt': '2021-04-10T08:01:33+03:00', 'statusDescription': {}, 'qr': 't=20210319T1625&s=3685.07&fn=9251440300120780&i=10790&fp=1196080937&n=1', 'operation': {'date': '2021-03-19T16:25', 'type': 1, 'sum': 368507}, 'process': [{'time': '2021-04-08T16:36:45+00:00', 'result': 3}, {'time': '2021-04-08T16:36:53+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 368507, 'documentId': 10790, 'fsId': '9251440300120780', 'fiscalSign': '1196080937', 'date': '2021-03-19T16:25'}, 'ticket': {'document': {'receipt': {'dateTime': 1616160300, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 368507, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 10790, 'fiscalDriveNumber': '9251440300120780', 'fiscalSign': 1196080937, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': '\\\\ Пакет БИО Добрянка большой 38+20х65/25', 'nds': 1, 'ndsSum': 267, 'paymentType': 4, 'price': 800, 'productType': 1, 'quantity': 2, 'sum': 1600}, {'name': '\\\\ Пакет БИО Добрянка малый 28+13х50/15', 'nds': 1, 'ndsSum': 83, 'paymentType': 4, 'price': 500, 'productType': 1, 'quantity': 1, 'sum': 500}, {'name': 'Лед Палета Маракуйа и чиа к/к 75г', 'nds': 1, 'ndsSum': 2162, 'paymentType': 4, 'price': 12970, 'productType': 1, 'quantity': 1, 'sum': 12970}, {'name': 'Вареники с картофелем и грибами п/ф 1кг ве', 'nds': 2, 'ndsSum': 2147, 'paymentType': 4, 'price': 29900, 'productType': 1, 'quantity': 0.79, 'sum': 23621}, {'name': 'БЗМЖ Мороженое Палета Эквадорский кокос и ', 'nds': 2, 'ndsSum': 1179, 'paymentType': 4, 'price': 12970, 'productType': 1, 'quantity': 1, 'sum': 12970}, {'name': 'Лед Палета Малина и садовая мята к/к 70г', 'nds': 1, 'ndsSum': 1578, 'paymentType': 4, 'price': 9470, 'productType': 1, 'quantity': 1, 'sum': 9470}, {'name': 'БЗМЖ Молоко Ирмень 2.5% т/п/крыш 950г', 'nds': 2, 'ndsSum': 1125, 'paymentType': 4, 'price': 6190, 'productType': 1, 'quantity': 2, 'sum': 12380}, {'name': 'БЗМЖ Сыр Чергинский МСЗ Российский 1кг вес', 'nds': 2, 'ndsSum': 1157, 'paymentType': 4, 'price': 37639, 'productType': 1, 'quantity': 0.338, 'sum': 12722}, {'name': 'Помидоры Черри 500г', 'nds': 2, 'ndsSum': 2635, 'paymentType': 4, 'price': 28990, 'productType': 1, 'quantity': 1, 'sum': 28990}, {'name': 'Варенька к чаю 1кг вес', 'nds': 2, 'ndsSum': 1318, 'paymentType': 4, 'price': 59900, 'productType': 1, 'quantity': 0.242, 'sum': 14496}, {'name': 'Пирог с кетой и картофелем пластовой 1кг в', 'nds': 2, 'ndsSum': 1982, 'paymentType': 4, 'price': 59900, 'productType': 1, 'quantity': 0.364, 'sum': 21804}, {'name': 'Пирог с кетой и картофелем пластовой 1кг в', 'nds': 2, 'ndsSum': 2734, 'paymentType': 4, 'price': 59900, 'productType': 1, 'quantity': 0.502, 'sum': 30070}, {'name': 'Капуста квашеная 900г', 'nds': 1, 'ndsSum': 2332, 'paymentType': 4, 'price': 13990, 'productType': 1, 'quantity': 1, 'sum': 13990}, {'name': 'Картошка 50г', 'nds': 2, 'ndsSum': 489, 'paymentType': 4, 'price': 2690, 'productType': 1, 'quantity': 2, 'sum': 5380}, {'name': 'Рулет маковый 300г', 'nds': 2, 'ndsSum': 1254, 'paymentType': 4, 'price': 13790, 'productType': 1, 'quantity': 1, 'sum': 13790}, {'name': 'Колбаса Брюкке Брауншвейгская с сыром п/к ', 'nds': 2, 'ndsSum': 1483, 'paymentType': 4, 'price': 50674, 'productType': 1, 'quantity': 0.322, 'sum': 16317}, {'name': 'Томаты Ташкент 1кг вес', 'nds': 2, 'ndsSum': 1756, 'paymentType': 4, 'price': 34990, 'productType': 1, 'quantity': 0.552, 'sum': 19314}, {'name': 'Пирожок с печенью 70г', 'nds': 2, 'ndsSum': 1088, 'paymentType': 4, 'price': 3990, 'productType': 1, 'quantity': 3, 'sum': 11970}, {'name': 'Пирожок жареный с картофелем и грибами 105', 'nds': 2, 'ndsSum': 345, 'paymentType': 4, 'price': 3790, 'productType': 1, 'quantity': 1, 'sum': 3790}, {'name': 'Самса с курицей 100г', 'nds': 2, 'ndsSum': 1279, 'paymentType': 4, 'price': 4690, 'productType': 1, 'quantity': 3, 'sum': 14070}, {'name': 'Багет Артизан ржаной 200г', 'nds': 2, 'ndsSum': 281, 'paymentType': 4, 'price': 3090, 'productType': 1, 'quantity': 1, 'sum': 3090}, {'name': 'Пирожок с капустой и яйцом 70г', 'nds': 2, 'ndsSum': 679, 'paymentType': 4, 'price': 2490, 'productType': 1, 'quantity': 3, 'sum': 7470}, {'name': 'Пирожок с картофелем и грибами 70г', 'nds': 2, 'ndsSum': 540, 'paymentType': 4, 'price': 2970, 'productType': 1, 'quantity': 2, 'sum': 5940}, {'name': 'Укроп 1кг вес', 'nds': 2, 'ndsSum': 400, 'paymentType': 4, 'price': 49990, 'productType': 1, 'quantity': 0.088, 'sum': 4399}, {'name': 'Лук зеленый 1кг вес', 'nds': 2, 'ndsSum': 786, 'paymentType': 4, 'price': 46990, 'productType': 1, 'quantity': 0.184, 'sum': 8646}, {'name': 'Редис пучковой 1кг вес', 'nds': 2, 'ndsSum': 529, 'paymentType': 4, 'price': 31990, 'productType': 1, 'quantity': 0.182, 'sum': 5822}, {'name': 'Яблоки Гренни 1кг вес', 'nds': 2, 'ndsSum': 692, 'paymentType': 4, 'price': 14990, 'productType': 1, 'quantity': 0.508, 'sum': 7615}, {'name': 'Петрушка 1кг вес', 'nds': 2, 'ndsSum': 273, 'paymentType': 4, 'price': 49990, 'productType': 1, 'quantity': 0.06, 'sum': 2999}, {'name': 'Перец желтый 1кг вес', 'nds': 2, 'ndsSum': 822, 'paymentType': 4, 'price': 32989, 'productType': 1, 'quantity': 0.274, 'sum': 9039}, {'name': 'Перец Болгарский 1кг вес', 'nds': 2, 'ndsSum': 916, 'paymentType': 4, 'price': 39990, 'productType': 1, 'quantity': 0.252, 'sum': 10077}, {'name': 'Апельсины 1кг вес', 'nds': 2, 'ndsSum': 701, 'paymentType': 4, 'price': 10990, 'productType': 1, 'quantity': 0.702, 'sum': 7715}, {'name': 'Бананы 1кг вес', 'nds': 1, 'ndsSum': 1511, 'paymentType': 4, 'price': 11990, 'productType': 1, 'quantity': 0.756, 'sum': 9064}, {'name': 'Огурцы среднеплодные 1кг вес', 'nds': 2, 'ndsSum': 583, 'paymentType': 4, 'price': 12990, 'productType': 1, 'quantity': 0.494, 'sum': 6417}], 'kktRegId': '0004677978002944    ', 'nds10': 29173, 'nds18': 7933, 'operationType': 1, 'operator': 'Кассир Смирнякова', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 34, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г.Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 230, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 368507, 'user': 'ООО ""Русская поварня""', 'userInn': '5403044264  '}}}, 'organization': {'name': 'ООО ""Русская поварня""', 'inn': '5403044264'}, 'seller': {'name': 'ООО ""Русская поварня""', 'inn': '5403044264'}}",t=20210319T1625&s=3685.07&fn=9251440300120780&i=10790&fp=1196080937&n=1,,,
,\\ Пакет БИО Добрянка малый 28+13х50/15,5,1,5,"3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Лед Палета Маракуйа и чиа к/к 75г,"129,7",1,"129,7","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Вареники с картофелем и грибами п/ф 1кг ве,299,"0,79","236,21","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
