"n","name of product","unit","Vegetables-fruits (Aliev), RUB.","EuroSmak (Aliev), RUB.","Foodstuff (Ahmedov), RUB.","Amikan, Flamingo (Guluev), RUB.","Magnit,RUB","Gastronom, Aishan (Radyukin), RUB.","Produkty (Fathulin), RUB.","Argo (Karamyan), RUB.","Zvenigovskii(Larionov), RUB.","Pyaterochka, RUB","Price average, RUB."
1,"Мясо говядина (кроме бескостного мяса)","кг",,474.45,,360,,358,,488,,,420.11
2,"Мясо свинина (кроме бескостного мяса)","кг",,404.45,,352,,340,417.33,377,,,378.16
,"Мясо баранина (кроме бескостного мяса)","кг",,599,,,,,,550,,,574.5
3,"Куры (тушка 1 кат. отечествен. пр-ва)","кг",229,229,195,198,180.04,238.33,235,225,220,177.49,212.69
4,"Рыба мороженная неразделанная (кроме дорогостоящих видов)","кг",,173,,,160.41,,,172,,151.99,164.35
5,"Масло сливочное (отеч. пр-ва, б/наполн. )","кг",423,505,361.11,390,523.75,700,777.78,543.5,720,530.3099999999999,547.45
6,"Масло подсолнечное (отеч. пр-ва, б/наполн. )","литр",161.11,169,133.33,147.8,109.99,156.92,165,148,135,120.99,144.71
7,"Молоко  питьевое (жирностью 2,5%, 3,2 %)","литр",81,87.7,73.08,75,70.27,87.7,87,79.44,86.2,78.81,80.59999999999999
8,"Творог (без наполнителей)","кг",339,369,340,350,327.94,385,335,358,327.75,306.95,343.86
9,"Кефир (без наполнителей)","литр",89,91.5,88,78,64.17,100,100,90,88.5,86.39,87.56
10,"Сыр твердых сортов(отеч. пр-ва)","кг",504.4,539,500,552,543.1799999999999,700,665,445,680,564.9,569.35
11,"Яйцо куриное","десяток",67.5,70,70,57,60.92,87,79,63.5,75,62.87,67.38
12,"Сахар-песок","кг",70,79,75,77.5,50.49,73,85,68,69,52.89,69.98999999999999
13,"Соль","кг",25,27.67,22,35,14.14,24,27.5,33,25,18.29,25.16
14,"Чай черный байховый","кг",650,837,535,510,437.44,700,950,849,772,524.24,676.47
15,"Мука","кг",63,60.83,53.14,62.5,47.67,66.5,67.5,55.31,64.5,49.99,59.09
16,"Хлеб ржано-пшеничный","кг",57.14,70.83,66.67,70,91.65000000000001,64.44,75,68.33,70,70.62,70.47
17,"Рис шлифованный","кг",105,106.5,92.13,95.56,84.23,101.85,104.36,103.89,136.25,88.20999999999999,101.8
18,"Пшено","кг",61.25,75.67,56.25,86.67,46.24,91.11,68.75,85.56,137.5,69.29000000000001,76.72
19,"Крупа гречневая - ядрица","кг",113,134.56,113.34,119.3,101.67,125.72,113.13,124.44,148.75,105.54,119.95
20,"Вермишель","кг",70,73.90000000000001,87.5,87,59.4,80,59,88.89,151.11,61.51,81.83
21,"Картофель","кг",75,55,45,65,55.99,80,65,48,59,45.14,59.31
22,"Капуста белокочанная свежая","кг",95,65,63,60,39.99,60,,46,55,32.99,57.44
23,"Лук репчатый","кг",55,45,45,50,38.69,60,54,45,45,35.99,47.34
24,"Морковь","кг",85,115,75,98,72.98999999999999,75,83,65,99,77.44,84.54000000000001
25,"Яблоки","кг",150,154,140,140,130.79,168,137.5,155.25,160,120.21,145.58
